
---------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |        |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                    |        |           |      |                     |    |
Nb I      |           374.239  |   1700 |           |      |                     |    |
Nb I      |           375.318  |    250 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           375.577  |    210 |           |      |                     |    |
Nb I      |           376.349  |    530 |           |      |                     |    |
Nb I      |           376.508  |    350 |           |      |                     |    |
Nb I      |           376.613  |    250 |           |      |                     |    |
Nb I      |           377.185  |    530 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           378.101  |    870 |           |      |                     |    |
Nb I      |           378.706  |   1700 |           |      |                     |    |
Nb I      |           379.015  |   1300 |           |      |                     |    |
Nb I      |           379.121  |   3500 |           |      |                     |    |
Nb I      |           379.812  |   2700 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           380.130  |    270 |           |      |                     |    |
Nb I      |           380.292  |   2700 |           |      |                     |    |
Nb I      |           380.388  |    670 |           |      |                     |    |
Nb I      |           380.474  |    530 |           |      |                     |    |
Nb I      |           381.049  |    670 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           381.103  |    530 |           |      |                     |    |
Nb I      |           381.551  |    530 |           |      |                     |    |
Nb II     |           381.886  |    210 |           |      |                     |    |
Nb I      |           381.915  |    210 |           |      |                     |    |
Nb I      |           382.488  |    670 |           |      |                     |    |
          |                    |        |           |      |                     |    |
